City;latitude;longitude
Bialystok;53.13333;23.16433
Bielsko_Biala;49.82245;19.04686
Chrzanow;50.13546;19.40203
Gdansk;54.35205;18.64637
Gdynia;54.51889;18.53188
Gliwice;50.29761;18.67658
Gromnik;49.8381;20.9615 
Katowice;50.25841;19.02754
Kielce;50.87033;20.62752
Krosno;49.683333;21.7833 
Krynica;49.42225;20.95942
Lublin;51.25;22.56667
Lodz;51.75;19.46667
Malbork;54.03591;19.0266
Nowy_Targ;49.47783;20.03228
Olsztyn;53.77995;20.49416
Poznan;52.40692;16.92993
Pulawy;51.41655;21.96939
Radom;51.40253;21.14714
Rzeszow;50.04132;21.99901
Sandomierz;50.68265;21.74898
Szczecin;53.42894;14.55302
Szczucin;50.30957;21.07444
Szklarska_Poreba;50.82567;15.52274
Tarnow;50.01381;20.98698
Warszawa;52.22977;21.01178
Wieliczka;49.98738;20.06473
Wroclaw;51.1;17.03333
Zakopane;49.29899;19.94885
Zamosc;50.72314;23.25196
Krakow;50.06143;19.93658
